method, roc, best_roc, diff_roc,ap, best_ap, diff_ap,best roc, best ap
GG_a,0.9061,0.9241,1.9865,0.4282,0.4942,15.4134,SCP_aom,SCP_aom
GG_m,0.8829,0.9241,4.6664,0.4016,0.4942,23.0578,SCP_aom,SCP_aom
GG_wa,0.9075,0.9241,1.8292,0.4326,0.4942,14.2395,SCP_aom,SCP_aom
GG_thresh,0.9099,0.9241,1.5606,0.438,0.4942,12.8311,SCP_aom,SCP_aom
GG_aom,0.9102,0.9241,1.5271,0.4558,0.4942,8.4247,SCP_aom,SCP_aom
GG_moa,0.9138,0.9241,1.1272,0.4513,0.4942,9.5059,SCP_aom,SCP_aom
SCP_a,0.8974,0.9241,2.9753,0.4089,0.4942,20.8608,SCP_aom,SCP_aom
SCP_moa,0.9158,0.9241,0.9063,0.473,0.4942,4.482,SCP_aom,SCP_aom
SCP_m,0.8057,0.9241,14.6953,0.3291,0.4942,50.1671,SCP_aom,SCP_aom
SCP_aom,0.9241,0.9241,0.0,0.4942,0.4942,0.0,SCP_aom,SCP_aom
